id,acronym,expansion
2126,oe,outlook express operator error
2127,oed,oxford english dictionary
2128,oem,original equipment manufacurer
2129,ofay,offensive term for a white person
2130,ofgs,oh for gods sake
2131,ofh,old folks home
2132,ofoc,overwhelming feelings of concern
2133,ofwgkta,"odd future wolf gang kill them all "
2134,og,original gangster old git
2135,ogim,oh god it is monday
2136,ogk,only god knows
2137,ogn,online gaming network
2138,oh,other half
2139,ohac,own house and car
2140,ohim,oh hell it is monday
2141,ohko,one hit knock out
2142,ohn,oh hell no
2143,ohs,operator head space
2144,oht,one handed typing
2145,ohw,one hit wonder
2146,oj,only joking
2147,ojd,obsessive jonas  disorder
2148,ojt,on job training
2149,oled,organic light emitting diode
2150,ollg,one less lonely girl
2151,oloy,only losers obey yolo
2152,oltl,one life to live
2153,om,old man
2154,oma,oh my allah
2155,omb,on my break
2156,omd,oh my days
2157,omdb,over my dead body
2158,omfsm,oh my flying spaghetti monster
2159,omfug,other music found underground
2160,omg,oh my god
2161,omga,oh my giddy aunt
2162,omgd,oh my god dude
2163,omgna,oh my gosh not again
2164,omj,"oh my jonas "
2165,omjc,oh my jesus christ
2166,oml,oh my lord
2167,oms,oh my science
2168,omsj,oh my sweet jesus
2169,omt,one more thing
2170,omw,on my way
2171,omwh,on my way home
2172,omz,oh my zeus
2173,onm,oh never mind
2174,onna,oh no not again
2175,onnta,oh no not this again
2176,ono,or nearest offer
2177,ons,one night stand
2178,ontd,oh no they did not
2179,onyd,oh no you did not
2180,ooa,out of ammo
2181,ooak,one of a kind
2182,oobe,out of body experience
2183,ooc,out of control or character or context
2184,oof,out of office
2185,ooh,out of here
2186,ooi,out of interest
2187,oom,"out of mana "
2188,oomf,one of my friends or followers
2189,ooml,out of my league
2190,oomm,out of my mind
2191,ooo,out of office
2192,oop,out of place
2193,oos,out of style
2194,oosoom,out of sight out of mind
2195,oot,out of town
2196,ootb,out of the box
2197,ootc,obligatory on topic comment
2198,ootd,offer of the day outfit of the day
2199,ooto,out of the office
2200,ootw,out of this world
2201,ooyl,out of your league
2202,ooym,out of your mind
2203,op,original poster
2204,opb,other peoples business
2205,opk,other peoples kids
2206,opm,other peoples money
2207,opps,misspelling of oops
2208,osfa,one size fits all
2209,oslt,or something like that
2210,oso,other significant other
2211,oss,open source software
2212,ost,original sound track
2213,ot,off topic
2214,ota,over the air
2215,otb,off the boat
2216,otc,over the counter
2217,otd,on the dot out the door
2218,ote,over the edge
2219,otf,off topic forum
2220,otfl,on the floor laughing
2221,otg,on the go off the ground
2222,oth,off the hook
2223,otk,over the knee
2224,otlta,one thing led to another
2225,otm,of the moment one track mind
2226,otn,on that note
2227,oto,one time only
2228,otoh,on the other hand
2229,otooh,on the other other hand
2230,otp,one true pairing
2231,otr,on the run
2232,ots,on the side
2233,ott,over the top
2234,otth,on the third hand
2235,ottomh,off the top of my head
2236,otw,on the way
2237,otw,on the whole
2238,oty,over to you
2239,ou,open university
2240,ouat,once upon a time
2241,ouo,official use only
2242,ova,original video animation
2243,ovno,or very near offer
2244,owk,other world kingdom
2245,ownm,oh well never mind
2246,owoa,one way or another
2247,ows,occupy wall street
2248,owtte,or words to that effect
2249,oy,oh yeah
2250,oyb,on your bike
2251,oyg,oh your god
2252,oyo,on your own
2253,pa,personal assistant
2254,pabx,private automatic branch exchange
2255,pan,personal area network
2256,patd,"panic at the disco "
2257,patt,party all the time
2258,paye,pay as you earn
2259,payg,pay as you go
2260,pb,personal best
2261,pbb,pirate bulletin board
2262,pbj,peanut butter and jelly
2263,pbn,paintball nation
2264,pbp,please be patient
2265,pbq,please be quiet
2266,pbr,"pabst blue ribbon "
2267,pbs,public broadcasting service
2268,pbuh,peace be upon him
2269,pbwy,peace be with you
2270,pc,politically correct personal computer
2271,pcb,printed circuit board  please come back
2272,pci,peripheral component interconnect
2273,pcm,please call me
2274,pcmcia,personal computer memory card international association
2275,pcmia,personal computer manufacturer interface adaptor
2276,pcmr,pc master race
2277,pd,public domain
2278,pda,personal digital assistant
2279,pdbaz,please do not be a zombie
2280,pdea,public display of elderly affection
2281,pdf,portable document format
2282,pdg,pretty damn good
2283,pdoa,public display of affection
2284,pdp,pretty darn precious
2285,pdq,pretty damn quick
2286,pdt,pacific daylight time
2287,pe,physical education
2288,pebcac,problem exists between chair and computer
2289,pebcak,problem exists between chair and keyboard
2290,pebkac,problem exists between keyboard and chair
2291,pemdas,parenthesis exponents multiply divide add subtract
2292,pews,post election withdrawal syndrome
2293,pfa,please find attached
2294,pfb,please find below
2295,pfc,private first class
2296,pfp,picture for proof
2297,pg,parental guidance
2298,pga,professional golfers association
2299,pgda,pretty goddamn awesome
2300,pgp,"pretty good privacy "
2301,phat,pretty hot and tempting
2302,phb,"pointy haired boss "
2303,pibe,play it by ear
2304,pic,picture partner in crime
2305,picnic,problem in chair not in computer
2306,pimpl,pee in my pants laughing
2307,pin,personal identification number
2308,pipa,protect ip act
2309,piq,person in question
2310,pir,parent in room
2311,pitme,peace in the middle east
2312,pitr,parent in the room
2313,piu,pump it up
2314,pk,"player kill "
2315,pkb,pot kettle black
2316,pki,public key infrastructure
2317,pkit,please keep in touch
2318,pla,peoples liberation army
2319,plc,public limited company
2320,pld,poor life decision
2321,plh,peace love and happiness
2322,pli,potential love interest
2323,pll,pretty little liar
2324,plma,please leave me alone
2325,plmk,please let me know
2326,plos,parents looking over shoulder
2327,plp,people lazily procrastinating
2328,plr,private label rights
2329,plrn,please leave right now
2330,plu,people like us
2331,plur,peace love unity and respect
2332,pm,"private message post meridiem "
2333,pma,positive mental attitude
2334,pmb,private message box
2335,pmc,post meal cigarette
2336,pmd,put me down
2337,pmf,pardon my french
2338,pmfji,pardon me for jumping in
2339,pmigbom,put mind in gear before opening mouth
2340,pmji,pardon my jumping in
2341,pmt,pre menstrual tension
2342,pmymhmmfswgad,pardon me you must have mistaken me for someone who gives a damn
2343,pnc,point and click partner in crime
2344,pnl,peace and love
2345,pnp,party and play
2346,pnr,passenger name record
2347,pnw,pacific north west
2348,poa,plan of action
2349,pod,passed out drunk
2350,pof,"plenty of fish  "
2351,poi,point of interest
2352,poidh,pics or it did not happen
2353,pomo,permanent open market operations post modern a group of native american people in california
2354,ponr,point of no return
2355,potc,pirates of the carribean
2356,potd,post of the day
2357,poto,phantom of the opera
2358,pots,"parents over the shoulder "
2359,potus,president of the united states
2360,potw,"patient of the week "
2361,poty,post of the year
2362,pov,point of view
2363,pow,prisioner of war
2364,ppb,parts per billion
2365,ppc,pay per click
2366,ppd,post potter depression
2367,ppm,parts per million
2368,pppw,per person per week
2369,pps,post post script
2370,ppu,please pick up
2371,ppv,pay per view
2372,pq,"party quest "
2373,pr,public relations
2374,prc,peoples republic of china
2375,ps,photoshop play station post script
2376,ps&qs,pints and quarts please and thank yous
2377,ps2,playstation 2
2378,ps3,playstation 3
2379,ps4,playstation 4
2380,psa,publice service announcement
2381,psb,please see below
2382,psh,dismissive expression
2383,psi,pounds per square inch  greek letter
2384,psm,personal short message
2385,psn,playstation network
2386,psp,playstation portable
2387,psr,pretty standard really
2388,pst,please send tell pacific standard time
2389,pstn,public switched telephone network
2390,psu,power supply unit
2391,pt,phantasy tour physical training
2392,ptb,powers that be pass the buck please text back
2393,ptc,popping the collar
2394,pti,pardon the interruption
2395,ptl,praise the lord
2396,ptm,please tell me
2397,pto,paid time off
2398,ptp,pay to play peer to peer
2399,ptsd,post traumatic stress disorder
2400,ptt,push to talk
2401,ptw,play to win professional time waster
2402,ptz,pan tilt zoom
2403,pua,pick up artist
2404,pug,pick up group
2405,puv,public utility vehicle
2406,pv,promotional video
2407,pvc,polyvinyl chloride vinyl
2408,pve,"player versus environment "
2409,pvm,player versus monster
2410,pvp,player v player
2411,pvr,personal video recorder
2412,pwor,proceeding with orders recieved
2413,pwos,parents watching over shoulder
2414,pwt,poor white trash
2415,px,post exchange part exchange
2416,pyp,play your position
2417,pyt,pretty young thing
2418,qa,quality assurance question and answer
2419,qantas,queensland and northern territory aerial service
2420,qap,quick as possible quickly as possible
2421,qb,quarter back
2422,qc,quality control
2423,qed,"quod erat demonstrandum "
2424,qfe,quoted for emphasis
2425,qfmt,quoted for more truth
2426,qfp,quoted for posterity
2427,qft,quoted for truth
2428,qi,quite interesting
2429,ql,quite laughing
2430,qno,quiet night out
2431,qol,quality of life
2432,qos,quantam of solace
2433,qotd,quote of the day
2434,qotsa,"queens of the stone age "
2435,qp,"quarter pound "
2436,qq4u,quick question for you
2437,qs,quick scope
2438,qvc,"quality value convenience "
2439,r5,"region 5 "
2440,ra,resident advisor resident assistant
2441,rac,rock against communism
2442,rak,random act of kindness
2443,ram,random access memory
2444,raok,random act of kindness
2445,ras,remote access server
2446,ratm,"rage against the machine "
2447,rawl,roll around while laughing
2448,rawr,right answer wrong reason
2449,rbay,right back at you
2450,rbg,revolutionary but gangsta
2451,rbtl,read between the lines
2452,rbv,red bull and vodka
2453,rc,random chat radio controlled
2454,rct,roller coster tycoon
2455,rd,real deal
2456,rdc,really do not care
2457,rdh,rate date hate
2458,rdj,robert downey jr
2459,rdm,random death match
2460,rdo,regular day off
2461,rdr,"red dead redemption "
2462,rfc,request for comment
2463,rfi,request for information
2464,rfid,radio frequency identification
2465,rfp,request for proposal
2466,rfq,request for quotation
2467,rft,right first time
2468,rfts,reach for the stars
2469,rfyl,run for your life
2470,rgb,red green blue
2471,rhcp,"red hot chili peppers "
2472,rhd,right hand drive
2473,rhi,rumour has it
2474,rhip,rank has its privileges
2475,rhs,right hand side
2476,rino,republican in name only
2477,riyl,recommended if you like
2478,rl,real life
2479,rlab,roll like a buffalo
2480,rlf,real life friend
2481,rltw,rangers lead the way
2482,rma,return merchandise authorization
2483,rme,rolling my eyes
2484,rml,read my lips
2485,rmt,real money trading
2486,rmv,results may vary
2487,rn,right now registered nurse
2488,rna,ribonucleic acid
2489,rnb,rhythm and blues
2490,rng,random number generator
2491,rnr,rock n roll
2492,ro,"ragnarok online "
2493,roar,right of admission reserved
2494,rofc,rolling on floor crying
2495,rofl,rolling on floor laughing
2496,roflmfao,rolling on floor laughing my fucking ass off
2497,roflol,rolling on floor laughing out loud
2498,rog,really old git
2499,roh,"ring of honor "
2500,roi,return on investment
2501,rolf,rolling on laughing floor
2502,ror,raughing out roud
2503,ros,right on schedule
2504,rotc,reserve officer training corps
2505,rotf,"rolling on the floor "
2506,rotffnar,rolling on the floor for no apparent reason
2507,rotfl,rolling on the floor laughing
2508,rotflol,rolling on the floor laughing out loud
2509,rotgl,rolling on the ground laughing
2510,rotk,"return of the king "
2511,rotm,run of the mill
2512,rov,remotely operated vehicle
2513,row,rest of the world
2514,roy,relative of yours
2515,rpc,role playing chat
2516,rpf,real person fiction
2517,rpg,rocket propelled grenade role playing game
2518,rpm,revolutions per minute
2519,rps,"rock paper scissors "
2520,rq,"random questions "
2521,rsi,repetitive strain injury
2522,rsn,real soon now
2523,rspb,royal society for the protection of birds
2524,rspca,royal society for the prevention of cruelty to animals
2525,rss,rich site summary really simple syndication
2526,rsvp,"repondez sil vous plait "
2527,rt,retweet real time
2528,rta,road traffic accident
2529,rtb,return to base
2530,rtd,ready to drink
2531,rtf,return the favour
2532,rtfaq,read the faq
2533,rtfd,read the fucking description
2534,rtfi,read the flipping instructions
2535,rtfm,read the flipping manual
2536,rtft,read the fucking thread read the fucking topic
2537,rtg,ready to go
2538,rtm,read the manual
2539,rto,radio telephone operator
2540,rtr,roll tide roll
2541,rts,real time strategy
2542,rtv,rock the vote
2543,rtw,ready to wear round the world
2544,rv,recreational vehicle
2545,rvb,"red versus blue "
2546,rvr,"realm versus realm "
2547,rw,read write
2548,rwd,rear wheel drive
2549,rwl,roaring with laughter
2550,rwnj,right wing nut job
2551,rwp,random wall post
2552,rwys,reap what you sow
2553,ryc,regarding your comment
2554,ryn,read your note regarding your note
2555,ryo,roll your own
2556,sa,sibling alert
2557,sab,smoking a blunt
2558,sae,stamped or self addressed envelope
2559,saf,single asian female
2560,safm,stay away from me
2561,sahd,stay at home dad
2562,sahm,stay at home mom
2563,sahw,stay at home wife
2564,salts,smiled a little then stopped
2565,sam,stop annoying me
2566,sap,sad and pathetic fool
2567,sase,self addressed stamped envelope
2568,sat,scholastic assessment test
2569,sata,serial advanced technology attachment
2570,satc,"sex and the city "
2571,sats,standard attainment tests
2572,sbd,silent but deadly
2573,sbf,single black female
2574,sbi,surrounded by incompetence
2575,sbj,sweet baby jesus
2576,sbm,single black male
2577,sbs,step by step
2578,sbsp,spongebob squarepants
2579,sbt,sorry bout that
2580,scnr,sorry could not resist
2581,scotus,supreme court of the united states
2582,scsi,small computer system interface
2583,scuba,self contained underwater breathing apparatus
2584,sd,sweet dreams secure digital  so drunk
2585,sda,seventh day adventist
2586,sdk,software development kit
2587,sdmf,strength determination merciless forever society dwelling mother fucker
2588,sdram,synchronous dynamic random access memory
2589,seo,search engine optimization
2590,sep,somebody elses problem
2591,serp,search engine results page
2592,sf,science fiction san francisco
2593,sfam,sister from another mister
2594,sflr,sorry for late reply
2595,sfo,san francisco international airport
2596,sfp,sorry for partying
2597,sfr,smiling for real
2598,sfsg,so far so good
2599,sftbc,sorry for the broadcast
2600,sfw,safe for work
2601,sgtm,sounds good to me
2602,sh,same here
2603,shu,secure housing unit
2604,siwoti,someone is wrong on the internet
2605,slol,seriously laughing out loud
2606,slr,"single lens reflex "
2607,smao,study my ass off
2608,smdh,shaking my damn head
2609,smdhe,some mothers do have them
2610,sme,small or medium enterprises
2611,smgdh,shaking my god damn head
2612,smh,shaking my head
2613,smhid,shaking my head in despair
2614,smhl,shaking my head laughing
2615,smib,southern maryland inbred
2616,smidsy,sorry mate i did not see you
2617,sml,screw my life story of my life
2618,smn,shoot me now
2619,smog,sweet mother of god
2620,smop,simple matter of programming
2621,sms,short message service
2622,smt,sucking my teeth
2623,smtp,simple mail transfer protocol
2624,snafu,situation normal all fouled up
2625,snag,sensitive new age guy sausage
2626,snc,social network check
2627,snd,search and destroy
2628,snes,super nintendo entertainment system
2629,snf,so not funny
2630,snm,say no more
2631,snr,signal to noise ratio
2632,snyk,so now you know
2633,so,significant other shout out
2634,soa,"state of alert "
2635,soad,"system of a down "
2636,soag,son of a gun
2637,sog,"sea of green "
2638,soh,sense of humor
2639,sohf,sense of humor failure
2640,soi,statement of intent
2641,soidh,screenshot or it did not happen
2642,somd,shit on my dick
2643,soml,story of my life
2644,somsw,someone over my shoulder watching
2645,sooc,"straight out of camera "
2646,sood,cool
2647,sootb,straight out of the box
2648,sop,standard operating procedure
2649,sopa,stop online piracy act
2650,sorn,statutory off road notification
2651,sos,"save our souls "
2652,sota,state of the art
2653,srh,"supporting radical habits "
2654,srm,stark raving mad
2655,sro,standing room only
2656,srt,street and racing technology
2657,ss,screen shot
2658,ssa,subject says all
2659,ssbb,"super smash brothers brawl "
2660,ssbhm,super sized
2661,ssc,safe sane consensual
2662,ssd,solid state drive
2663,ssdd,same stuff different day
2664,ssh,"secure she will "
2665,ssid,service set identifier
2666,ssl,secure socket layer see subject line
2667,ssts,snickering softly to self
2668,sswa,so say we all
2669,stw,search the web
2670,sty,same to you
2671,styl,speak to you later
2672,su,shut up
2673,suad,shut up and drive
2674,sul,see you later
2675,sula,sweaty upper lip alert
2676,tb,text back
2677,tba,to be announced
2678,tbbh,to be brutally honest
2679,tbbt,"the big bang theory "
2680,tbc,to be continued
2681,tbch,to be completely honest
2682,tbd,to be decided
2683,tbe,to be edited
2684,tbf,to be fair
2685,tbfu,too bad for you
2686,tbh,to be honest
2687,tbm,tactical boyfriend mention
2688,tbms,to be more specific
2689,tbnt,thanks but no thanks
2690,tbph,to be perfectly honest
2691,tbqf,to be quite frank
2692,tbqfh,to be quite fucking honest
2693,tbqh,to be quite honest
2694,tbr,to be real
2695,tbs,tablespoon to be specified
2696,tbss,too bad so sad
2697,tbt,truth be told
2698,tbtf,too big to fail
2699,tbtg,thanks be to god
2700,tbth,to be totally honest
2701,tbtp,that is beside the point
2702,tbu,to be updated
2703,tbys,think before you speak
2704,tc,take care
2705,tcb,taking care of  business
2706,tcby,the countrys best yogurt
2707,tccic,take care because i care
2708,tcfc,too close for comfort
2709,tcfn,take care for now
2710,tcfs,too cool for school
2711,tcg,trading card game
2712,tcgb,take care god bless
2713,tck,third culture kid
2714,tcl,tool command language
2715,tcob,taking care of buisness
2716,tcoy,take care of yourself
2717,tcp,transmission control protocol
2718,tcp or ip,transmission control protocol or internet protocol
2719,tctc,to close to call
2720,td,touchdown
2721,tddup,til death do us part
2722,tddwp,til death do we part
2723,tdf,to die for
2724,tdg,"too damn good three days grace "
2725,tdh,tall dark and handsome
2726,tdi,turbo direct injection turbo diesel injection
2727,tdl,to do list
2728,tdm,team deathmatch
2729,tds,technical dificulties
2730,tdtf,too drunk to function
2731,tdwp,"the devil wears prada "
2732,tdy,temporarily deployed for a year
2733,teotwawki,the end of the world as we know it
2734,tfa,thanks for asking
2735,tfc,"team fortress classic "
2736,tfcd,time for compact disc
2737,tffw,too funny for words
2738,tfi,thanks for the information
2739,tfios,the fault in our stars
2740,tfl,tip for life transport for london
2741,tflmk,thanks for letting me know
2742,tflms,thanks for letting me share
2743,tfln,texts from last night
2744,tfm,total frat move
2745,tfmtk,that is for me to know
2746,tfp,thanks for playing
2747,tfrm,thanks for reminding me
2748,tfs,thanks for sharing
2749,tft,the frozen throne  thin film transistor
2750,tfta,thanks for the add
2751,tftc,thanks for the cache
2752,tftd,thought for the day
2753,tfti,thanks for the info
2754,tftl,thanks for the link
2755,tg,thank god transgender too good
2756,tgal,think globally act locally
2757,tge,misspelling of the
2758,tgfg,thank god for google
2759,tgfi,thank god for the internet
2760,tgfl,thank god for life
2761,tgft,thank god for that
2762,tgi,"thank god it is "
2763,tgia,thank god i am alive
2764,tgiaf,thank god it is almost friday
2765,tgif,thank god it is friday
2766,tgim,thank god it is monday
2767,tgio,thank god it is over
2768,tgit,thank god it is thursday
2769,tgod,taylor gang or die
2770,tgp,thumbnail gallery post
2771,tgtbt,too good to be true
2772,thabto,two heads are better than one
2773,thwu,to hell with you
2774,tiic,the idiots in charge
2775,tinag,this is not a game
2776,tinalo,this is not a legal opinion
2777,tinar,this is not a recommendation
2778,tinstafl,there is no such thing as free lunch
2779,tla,three letter acronym
2780,tlc,tender loving care
2781,tld,top level domain
2782,tldnr,too long did not read
2783,tldr,too long did not read
2784,tldw,too long did not watch
2785,tlgo,the list goes on
2786,tli,too little information
2787,tlnd,true love never dies
2788,tlol,truly laughing out loud
2789,tltr,too long to read
2790,tlyk,to let you know
2791,tm,text message text me trademark
2792,tma,take my advice
2793,tmai,tell me about it
2794,tmb,text me back
2795,tmbg,"they might be giants "
2796,tmbi,tell me bout it
2797,tme,too much effort
2798,tmf,too much forehead
2799,tmh,touch my hand
2800,tmi,too much information
2801,tmk,to my knowledge
2802,tml,thank me later text me later
2803,tmlt,to my last tweet
2804,tmm,tell me more
2805,tmms,that made me smile
2806,tmn,touch me not
2807,tmnt,teenage mutant ninja turtles
2808,tmp,tactical machine pistol
2809,tmr,tomorrow
2810,tmrw,tomorrow
2811,tms,too much swag
2812,tmsidk,tell me something i do not know
2813,tmt,too much tuna
2814,tmtc,too many to count
2815,tmth,too much to handle
2816,tmtowtdi,there is more than one way to do it
2817,tmts,too much too soon
2818,tmtt,too much to text
2819,tmy,tell me why
2820,tmz,"thirty mile zone "
2821,tna,total nonstop action
2822,tnb,there is nothing better
2823,tnbm,true norwegian black metal
2824,tnf,that is not funny
2825,tng,"the next generation "
2826,tnl,to next level
2827,tnln,took nothing left nothing
2828,tno,trust no one
2829,tnop,totally not our problem
2830,tnot,take note of that
2831,tnsl,"took nothing signed logbook "
2832,tnstaafl,there is no such thing as a free lunch
2833,tnt,til next time
2834,tntm,that is news to me
2835,to,time out
2836,toc,table of contents
2837,tod,time of death time of day
2838,toefl,test of english as a foreign language
2839,toeic,test of english for international communication
2840,toft,take one for the team
2841,toftt,take one for the team
2842,toh,the other half
2843,tol,thinking out loud thinking of laughing
2844,tom,time of month
2845,totb,think outside the box
2846,totd,tip of the day tweet of the day
2847,totga,the one that got away
2848,totm,time of the month
2849,totus,teleprompter of the united states
2850,toy,thinking of you
2851,tp,"toilet paper town portal "
2852,tpam,the person above me
2853,tpb,the pirate bay
2854,tpe,total power exchange
2855,tpk,total party kill
2856,tpo,time place occasion
2857,tps,totally pointless stuff
2858,tpt,trailer park trash
2859,tptb,the powers that be
2860,tr,triple rainbow
2861,traw,thick rich and white
2862,trdmc,tears running down my cheeks
2863,trdmf,tears running down my face
2864,trg,tiny rascal gang
2865,ttfw,too tacky for words
2866,ttg,time to go
2867,ttgg,time to go girl
2868,tth,trying too hard
2869,ttiuwp,this thread is useless without pictures
2870,ttiwwp,this thread is worthless without pictures
2871,ttjasi,take this job and shove it
2872,ttl,"thank the lord time to live "
2873,ttm,talk to me
2874,ttmab,to the moon and back
2875,ttml,talk to me later
2876,tto,time to own
2877,ttotm,that time of the month
2878,ttp,to the point
2879,ttr,time to relax
2880,ttt,"third tier toilet "
2881,ttte,thomas the tank engine
2882,ttth,talk to the hand
2883,tttt,these things take time
2884,tttty,time to talk to you
2885,ttul,talk to you later
2886,ttus,talk to you soon
2887,ttut,talk to you tomorrow
2888,ttutt,to tell you the truth
2889,tty,talk to you
2890,ttyf,talk to you forever
2891,ttyiab,talk to you in a bit
2892,ttyitm,talk to you in the morning
2893,ttyl,talk to you later
2894,ttym,talk to you ma
2895,ttyn,talk to you never
2896,ttyrs,talk to you real soon
2897,ttys,talk to you soon
2898,ttyt,talk to you tomorrow
2899,ttytt,to tell you the truth
2900,ttyvs,talk to you very soon
2901,tul,tell you later text you later
2902,tvm,thanks very much
2903,tw,trigger warning
2904,twain,technology without an interesting name
2905,twloha,to write love on her arms
2906,twoc,taken without owners consent
2907,twtmc,to whom this may concern
2908,twu,that is what is up
2909,twyl,talk with you later
2910,twyms,that is what your mom said
2911,ty,thank you
2912,tyb,try your best
2913,tybg,thank you based god
2914,tyfays,thank you for all your support
2915,tyfe,thank you for everything
2916,tyfyt,thank you for your time
2917,tyg,there you go
2918,tyj,thank you jesus
2919,tyl,text you later
2920,tylj,thank you lord jesus
2921,tym,thank you much
2922,tymbi,thought you might be interested
2923,tys,thank you sir
2924,tysm,thank you so much
2925,tysvm,thank you so very much
2926,tyt,take your time
2927,tyvm,thank you very much
2928,uri,uniform resource indicator url
2929,url,uniform resource locator internet address
2930,us,united states
2931,usa,united states of america
2932,usaf,united states air force
2933,usb,universal serial bus
2934,usbm,united states black metal
2935,usc,university of southern california
2936,uscg,united states coast guard
2937,usd,united states dollar
2938,usmc,united states marine corps
2939,usp,unique selling point
2940,usps,united states postal service
2941,uss,united states ship
2942,ussr,union of soviet socialist republics
2943,usw,"und so weiter "
2944,ut,unreal tournament
2945,utc,coordinated universal time under the counter
2946,utd,up to date
2947,ute,utility vehicle pickup truck
2948,utf,unicode transformation format
2949,utfl,use the force luke
2950,uth,up the hoods
2951,uti,urinary tract infection
2952,uto,unable to obtain
2953,utp,up town projects
2954,utr,under the radar
2955,uts,under the skin
2956,utt,under the table
2957,uv,unpleasant visual
2958,uw,you are welcome
2959,uws,"upper west side "
2960,ue,user experience
2961,uy,up yours
2962,va,various artists
2963,vbd,very big deal
2964,vbg,very big grin
2965,vbl,visible bra line
2966,vbr,variable bit rate
2967,vbs,very big smile
2968,vc,voice chat
2969,vcard,virtual  business card
2970,vcd,video compact disc
2971,vcr,video cassette recorder
2972,vdu,visual display unit
2973,vfm,value for money
2974,vg,video game very good
2975,vga,video graphics array or adaptor
2976,vgc,very good condition
2977,vgg,very good game
2978,vgl,very good looking
2979,vgm,video game music
2980,vh1,"video hits one "
2981,vhf,very high frequency
2982,vhs,video home system
2983,vibe,atmosphere ambience
2984,vid,video
2985,vig,interest paid on a loan
2986,vin,vehicle identification number
2987,vip,very important person
2988,viz,"adult comic namely "
2989,vj,"video jockey "
2990,vlan,virtual local area network
2991,vlsi,very large scale integration
2992,vm,voice mail
2993,vma,video music awards
2994,vmi,virginia military institute
2995,vn,very nice
2996,vnc,virtual network computing
2997,vnds,very near dead stock
2998,vnh,"very nice hand "
2999,vns,very nice shot
3000,voa,voice of america
3001,vod,video on demand
3002,voip,voice over   internet telephony
3003,vp,vice president
3004,vpl,visible panty line
3005,vpn,virtual private network
3006,vr,virtual reality
3007,vs,versus against
3008,vt,video tape
3009,vtl,visible thong line
3010,vtpr,view to permanent relationship
3011,vtr,video tape recorder
3012,vv,very very
3013,vvn,very very nice
3014,vwp,very well played very well put
3015,wafwot,what a fucking waste of time
3016,waj,what a joke
3017,wak,weird awful
3018,wal,what a loser
3019,wam,wait a minute what a mess
3020,wamh,with all my heart
3021,wamhas,with all my heart and soul
3022,waml,with all my love
3023,wap,wireless access point
3024,wapce,women are pure concentrated evil
3025,warez,cracked or pirate software
3026,was,wait and see
3027,way,where are you
3028,wayd,what are you doing
3029,waydrn,what are you doing right now
3030,waylt,what are you listening to
3031,wayoa,what are you on about
3032,wayta,what are you talking about
3033,waywo,what are you working on
3034,wbb,will be back
3035,wbm,want to be moderator
3036,wbn,would be nice
3037,wbr,with best regards
3038,wbs,write back soon
3039,wbt,will be there
3040,wbu,what about you
3041,wbw,white boy wasted
3042,wby,what bout you
3043,wcb,will call back
3044,wcg,world cyber games
3045,wcis,what can i say
3046,wcs,worst case scenario
3047,wcw,world championship wrestling
3048,wcyd,what can you do
3049,wd,well done
3050,wde,worst day ever
3051,wdfd,whoop dee fucking doo
3052,wdh,what da hell
3053,wdib,why do i bother
3054,wdic,what do i care
3055,wdim,what does it mean
3056,wditot,why did not i think of that
3057,wdmb,will do my best
3058,wdoml,worst day of my life
3059,wdtm,what does that mean
3060,wdud,what do you do
3061,wdum,what do you mean
3062,wdut,what do you think
3063,wdw,who dares wins
3064,wdy,why do not you
3065,wdyd,what did you do
3066,wdydt,why did you do that what did you do today
3067,wdye,what did you expect
3068,wdyg,where did you go
3069,wdym,what do you mean
3070,wdymbt,what do you mean by that
3071,wdys,what did you say
3072,wdyt,what do you think
3073,wdyw,what do you want
3074,wdywfm,what do you want from me
3075,wdywt,what did you wear today
3076,wdywtta,what do you want to talk about
3077,wef,with effect from
3078,wep,wireless encryption protocol
3079,wfyb,whatever floats your boat
3080,whyb,where have you been
3081,whyd,what have you done
3082,wia,wounded in action
3083,wip,work in progress
3084,wir,when it is ready
3085,with,where in the hell
3086,witw,what in the world
3087,wiuwy,what is up with you
3088,wiwt,what i wore today wish i was there
3089,wiwwu,wish i was with you
3090,wiwwy,what is wrong with you
3091,wiyp,what is your problem
3092,wjd,what jesus did
3093,wk,white knight
3094,wks,well kept secret
3095,wkyp,will keep you posted
3096,wlm,windows live messenger
3097,wltm,would like to meet
3098,wlyb,who loves you baby
3099,wlyk,will let you know
3100,wm,woman marine
3101,wma,windows media audio
3102,wmd,weapons of mass destruction
3103,wmf,wagging my finger
3104,wmg,warner music group
3105,wml,wish me luck
3106,wmmows,wash my mouth out with soap
3107,wmp,windows media player with much pleasure
3108,wmv,windows media video
3109,wmyb,what makes you beautiful
3110,wn,why not what is new
3111,wnditwb,we never did it this way before
3112,wnl,within normal limits
3113,wnohgb,where no one has gone before
3114,wntt,we need to talk
3115,wnwy,what is new with you
3116,woat,worst of all time
3117,wob,waste of bandwith
3118,woc,women of color
3119,woe,what on earth
3120,wof,while on fire
3121,wog,offensive term for a black person a foreigner
3122,wom,women over mates
3123,wombat,waste of money brains and time
3124,wos,waste of space wife over shoulder
3125,wotam,waste of time and money
3126,wotcher,what are you up to
3127,wotd,word of the day
3128,wotlk,"wrath of the lich king "
3129,wots,word on the street
3130,wp,wrong person well played
3131,wpa,wi fi protected access
3132,wpm,words per minute
3133,wpww,white pride world wide
3134,wr,warm regards
3135,wrt,with regard to
